key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,22.25,14.56,111.0,9.0,11.0,16.0,29.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,29.7,18.04,121.0,9.0,13.0,27.0,40.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,25.32,15.67,111.0,9.0,12.0,22.0,34.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,31.92,16.24,124.0,9.0,21.0,29.0,41.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,29.16,16.54,131.0,9.0,14.0,28.0,38.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,27.1,16.49,123.0,9.0,12.0,24.0,36.25,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,30.36,16.21,129.0,9.0,16.0,29.0,40.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,23.62,15.9,108.0,9.0,11.0,17.0,31.0,CartPole-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,1591.93,1035.68,4652.0,348.0,898.25,1198.5,2052.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,574.4,417.87,2546.0,147.0,315.5,444.0,699.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,10000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
