key,mean,std,max,min,25,50,75,game,model,target_update,learning_rate,annealing,optimizer,loss_function,weight_decay
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,468.83,240.89,1556.0,111.0,297.0,419.0,580.0,Acrobot-v1,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,204.3,119.52,1178.0,74.0,129.0,170.0,238.0,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,0.1,Acrobot-v1,DDQN_GS,0,0.01,True,RMSprop,Huber,0.1
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,1309.61,700.59,3635.0,165.0,784.0,1160.0,1687.0,Acrobot-v1,DQN_GS,0,0.001,True,RMSprop,Huber,1.0
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,903.42,510.81,3058.0,112.0,514.5,786.0,1230.5,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,1242.32,717.28,4378.0,119.0,732.5,1083.0,1578.5,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu_,170.72,75.92,1023.0,75.0,124.25,153.0,192.0,Acrobot-v1,DDQN_GS,0,0.001,True,RMSprop,Huber,1.0
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu_,182.01,126.14,2151.0,66.0,120.0,150.0,199.0,Acrobot-v1,DDQN_GS,0,0.001,True,RMSprop,Huber,0.5
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu_,163.98,53.66,597.0,76.0,129.0,154.0,185.75,Acrobot-v1,DDQN_GS,0,0.01,True,RMSprop,Huber,1.0
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu_,129.27,31.67,301.0,66.0,107.0,123.0,145.0,Acrobot-v1,DDQN_GS,0,0.01,True,RMSprop,Huber,0.5
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,998.45,626.51,4580.0,193.0,566.75,853.5,1215.25,Acrobot-v1,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu_,1356.62,949.1,6534.0,185.0,673.25,1086.5,1747.5,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
